y,growth_rate_%/day,geom_mean_mass_g,size_group,mass_g,log_mass,mass_norm,log_mass_norm,temp_c,temp_arr,median_temp,above_peak_temp,common_name,species,species_ab,env_temp_min,env_temp_max
2.65066349248335,2.65066349248335,28.28427,;,28.28427,3.3423058197295243,0.014009049034175334,-4.268051798583313,6.43909535775691,41.505623838323174,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
3.05352025746153,3.05352025746153,28.28427,;,28.28427,3.3423058197295243,0.014009049034175334,-4.268051798583313,9.45615659304324,41.062515980240285,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
3.65079575012123,3.65079575012123,28.28427,;,28.28427,3.3423058197295243,0.014009049034175334,-4.268051798583313,12.4676630075386,40.629559457286916,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
3.40559008949432,3.40559008949432,28.28427,;,28.28427,3.3423058197295243,0.014009049034175334,-4.268051798583313,15.503240312128,40.20228495847775,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
1.25471698113207,1.25471698113207,104.8809,;,104.8809,4.652825420654324,0.05194695393759287,-2.9575321976585136,4.5188679245283,41.79265723217588,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
1.62264150943396,1.62264150943396,104.8809,;,104.8809,4.652825420654324,0.05194695393759287,-2.9575321976585136,5.50943396226415,41.6440945716828,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
1.73584905660377,1.73584905660377,104.8809,;,104.8809,4.652825420654324,0.05194695393759287,-2.9575321976585136,7.5377358490566,41.34316658372493,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
1.94339622641509,1.94339622641509,104.8809,;,104.8809,4.652825420654324,0.05194695393759287,-2.9575321976585136,9.5188679245283,41.05340608048318,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
2.10377358490566,2.10377358490566,104.8809,;,104.8809,4.652825420654324,0.05194695393759287,-2.9575321976585136,12.4905660377358,40.626301726635916,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
1.11894507621582,1.11894507621582,154.9193,;,154.9193,5.0429043361752015,0.07673070827142149,-2.5674532821376355,4.52901040406484,41.79113071718961,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
1.50055649649165,1.50055649649165,154.9193,;,154.9193,5.0429043361752015,0.07673070827142149,-2.5674532821376355,5.51270263730945,41.643606092200535,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
1.42840551657391,1.42840551657391,154.9193,;,154.9193,5.0429043361752015,0.07673070827142149,-2.5674532821376355,7.51134768932978,41.347053724196556,6,N,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
1.42869586256956,1.42869586256956,154.9193,;,154.9193,5.0429043361752015,0.07673070827142149,-2.5674532821376355,9.48318412775223,41.05858927015025,6,Y,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
1.2432131623518,1.2432131623518,154.9193,;,154.9193,5.0429043361752015,0.07673070827142149,-2.5674532821376355,12.4750060488749,40.628514925021705,6,Y,Lumpfish,Cyclopterus lumpus,C.lumpus,;,;
1.81369978134507,1.81369978134507,7.305395,;,7.305395,1.9886131162938407,0.016910636574074073,-4.0798124719502695,9.97268758802611,40.987601241275115,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
3.63533650292188,3.63533650292188,7.305395,;,7.305395,1.9886131162938407,0.016910636574074073,-4.0798124719502695,14.9352205613439,40.281552099772156,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
5.44881840747628,5.44881840747628,7.305395,;,7.305395,1.9886131162938407,0.016910636574074073,-4.0798124719502695,19.9370491701228,39.59410644064408,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
5.79374849237042,5.79374849237042,7.305395,;,7.305395,1.9886131162938407,0.016910636574074073,-4.0798124719502695,24.9924910320356,38.92273047376267,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
4.46405681396694,4.46405681396694,7.305395,;,7.305395,1.9886131162938407,0.016910636574074073,-4.0798124719502695,30.0512788589481,38.27332082795947,16.8,Y,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
1.24649698657006,1.24649698657006,21.99927,;,21.99927,3.091009270989605,0.05092423611111111,-2.977416317254505,9.95093092048025,40.99075119069708,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
3.07988199376749,3.07988199376749,21.99927,;,21.99927,3.091009270989605,0.05092423611111111,-2.977416317254505,14.9331034373665,40.28184812907335,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
3.9277472831675,3.9277472831675,21.99927,;,21.99927,3.091009270989605,0.05092423611111111,-2.977416317254505,19.9195785943654,39.596466739653735,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
3.76812566240093,3.76812566240093,21.99927,;,21.99927,3.091009270989605,0.05092423611111111,-2.977416317254505,24.9890377588306,38.92318130644537,16.8,Y,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
2.94918930034642,2.94918930034642,21.99927,;,21.99927,3.091009270989605,0.05092423611111111,-2.977416317254505,30.0220826676368,38.27700663961858,16.8,Y,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
0.193029490616621,0.193029490616621,96.76363,;,96.76363,4.572271200540412,0.22398988425925928,-1.496154387703699,9.94328659956928,40.99185805713057,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
1.25737265415549,1.25737265415549,96.76363,;,96.76363,4.572271200540412,0.22398988425925928,-1.496154387703699,14.9539665099107,40.27893111571213,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
1.53083109919571,1.53083109919571,96.76363,;,96.76363,4.572271200540412,0.22398988425925928,-1.496154387703699,19.9805036698457,39.58823689767324,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
1.38605898123324,1.38605898123324,96.76363,;,96.76363,4.572271200540412,0.22398988425925928,-1.496154387703699,25.0277853469872,38.918123319321175,16.8,Y,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
0.316353887399463,0.316353887399463,96.76363,;,96.76363,4.572271200540412,0.22398988425925928,-1.496154387703699,30.0498220014943,38.2735047290329,16.8,Y,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
0.328933275762486,0.328933275762486,195.379,;,195.379,5.274941261980559,0.4522662037037037,-0.7934843262635514,10.0471408037114,40.97682550142486,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
1.22847401741704,1.22847401741704,195.379,;,195.379,5.274941261980559,0.4522662037037037,-0.7934843262635514,14.9418590523614,40.28062389332209,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
1.36352625174534,1.36352625174534,195.379,;,195.379,5.274941261980559,0.4522662037037037,-0.7934843262635514,19.9675696691358,39.5899837540105,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
1.68973425820524,1.68973425820524,195.379,;,195.379,5.274941261980559,0.4522662037037037,-0.7934843262635514,25.041505215956,38.91633268631147,16.8,N,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
0.367698268949312,0.367698268949312,195.379,;,195.379,5.274941261980559,0.4522662037037037,-0.7934843262635514,30.0082244066744,38.27875639504055,16.8,Y,Japanese flounder,Paralichthys olivaceus,P.olivaceus,;,;
1.42371908127208,1.42371908127208,28.28427,;,28.28427,3.3423058197295243,0.23570225,-1.4451859230525217,12.0374179707218,40.69085482027641,10,N,Arctic char,Salvelinus alpinus,S.alpinus,4,16
1.76181221605249,1.76181221605249,28.28427,;,28.28427,3.3423058197295243,0.23570225,-1.4451859230525217,14.0626892983341,40.403924525640505,10,N,Arctic char,Salvelinus alpinus,S.alpinus,4,16
1.78486244321049,1.78486244321049,28.28427,;,28.28427,3.3423058197295243,0.23570225,-1.4451859230525217,16.0427814235234,40.12728037018768,10,Y,Arctic char,Salvelinus alpinus,S.alpinus,4,16
1.07846536753683,1.07846536753683,79.05694,;,79.05694,4.370168352338311,0.6588078333333333,-0.4173233904437349,12.0124444947252,40.69441837538598,10,N,Arctic char,Salvelinus alpinus,S.alpinus,4,16
1.24878383347003,1.24878383347003,79.05694,;,79.05694,4.370168352338311,0.6588078333333333,-0.4173233904437349,14.0156263257629,40.41054624014042,10,N,Arctic char,Salvelinus alpinus,S.alpinus,4,16
1.04751675764346,1.04751675764346,79.05694,;,79.05694,4.370168352338311,0.6588078333333333,-0.4173233904437349,16.0065192182594,40.132312605606074,10,Y,Arctic char,Salvelinus alpinus,S.alpinus,4,16
0.78,0.78,102.4695,;,102.4695,4.629565193322802,0.02299584829443447,-3.7724415882843183,5,41.72036606584982,5.5,N,Atlantic salmon,Salmo salar,S.salar,2,9
1.08,1.08,102.4695,;,102.4695,4.629565193322802,0.02299584829443447,-3.7724415882843183,9,41.12890243209685,5.5,N,Atlantic salmon,Salmo salar,S.salar,2,9
1.19,1.19,102.4695,;,102.4695,4.629565193322802,0.02299584829443447,-3.7724415882843183,14,40.41274532897833,5.5,Y,Atlantic salmon,Salmo salar,S.salar,2,9
1.03,1.03,102.4695,;,102.4695,4.629565193322802,0.02299584829443447,-3.7724415882843183,18,39.857529868508074,5.5,Y,Atlantic salmon,Salmo salar,S.salar,2,9
0.79,0.79,225.8318,;,225.8318,5.4197904743948,0.05068038599640933,-2.9822163072123202,5,41.72036606584982,5.5,N,Atlantic salmon,Salmo salar,S.salar,2,9
1.43,1.43,225.8318,;,225.8318,5.4197904743948,0.05068038599640933,-2.9822163072123202,9,41.12890243209685,5.5,N,Atlantic salmon,Salmo salar,S.salar,2,9
1.56,1.56,225.8318,;,225.8318,5.4197904743948,0.05068038599640933,-2.9822163072123202,14,40.41274532897833,5.5,N,Atlantic salmon,Salmo salar,S.salar,2,9
1.47,1.47,225.8318,;,225.8318,5.4197904743948,0.05068038599640933,-2.9822163072123202,18,39.857529868508074,5.5,Y,Atlantic salmon,Salmo salar,S.salar,2,9
0.749698979561902,0.749698979561902,30.67898,;,30.67898,3.423577729531779,0.016003641105894625,-4.134939013513866,23.3,39.144947954852846,21.5,N,Barramundi,Lates calcarifer,L.calcarifer,15,28
2.4772661933349807,2.4772661933349807,30.67898,;,30.67898,3.423577729531779,0.016003641105894625,-4.134939013513866,26.2,38.765725141861125,21.5,N,Barramundi,Lates calcarifer,L.calcarifer,15,28
4.661171916406608,4.661171916406608,30.67898,;,30.67898,3.423577729531779,0.016003641105894625,-4.134939013513866,29.1,38.39377939194748,21.5,N,Barramundi,Lates calcarifer,L.calcarifer,15,28
4.661171916406608,4.661171916406608,30.67898,;,30.67898,3.423577729531779,0.016003641105894625,-4.134939013513866,32,38.028903231906035,21.5,N,Barramundi,Lates calcarifer,L.calcarifer,15,28
4.530789485178452,4.530789485178452,30.67898,;,30.67898,3.423577729531779,0.016003641105894625,-4.134939013513866,34.9,37.670897001188536,21.5,Y,Barramundi,Lates calcarifer,L.calcarifer,15,28
1.4016111357026864,1.4016111357026864,30.67898,;,30.67898,3.423577729531779,0.016003641105894625,-4.134939013513866,37.9,37.30757055526806,21.5,Y,Barramundi,Lates calcarifer,L.calcarifer,15,28
0.17550600575283615,0.17550600575283615,159.5387,;,159.5387,5.072286526023058,0.08322310902451747,-2.4862302170225865,23.3,39.144947954852846,21.5,N,Barramundi,Lates calcarifer,L.calcarifer,15,28
0.6957559513773147,0.6957559513773147,159.5387,;,159.5387,5.072286526023058,0.08322310902451747,-2.4862302170225865,26.2,38.765725141861125,21.5,N,Barramundi,Lates calcarifer,L.calcarifer,15,28
1.0843763926871661,1.0843763926871661,159.5387,;,159.5387,5.072286526023058,0.08322310902451747,-2.4862302170225865,29.1,38.39377939194748,21.5,N,Barramundi,Lates calcarifer,L.calcarifer,15,28
1.7550600575283613,1.7550600575283613,159.5387,;,159.5387,5.072286526023058,0.08322310902451747,-2.4862302170225865,32,38.028903231906035,21.5,N,Barramundi,Lates calcarifer,L.calcarifer,15,28
1.6422347681158238,1.6422347681158238,159.5387,;,159.5387,5.072286526023058,0.08322310902451747,-2.4862302170225865,34.9,37.670897001188536,21.5,Y,Barramundi,Lates calcarifer,L.calcarifer,15,28
0.407424656211941,0.407424656211941,159.5387,;,159.5387,5.072286526023058,0.08322310902451747,-2.4862302170225865,37.9,37.30757055526806,21.5,Y,Barramundi,Lates calcarifer,L.calcarifer,15,28
-0.358575056810584,-0.358575056810584,;,2,2,0.6931471805599453,4.476275738585497e-4,-7.711548979629146,0.476540569442587,42.41006664436143,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
1.37956155594172,1.37956155594172,;,2,2,0.6931471805599453,4.476275738585497e-4,-7.711548979629146,4.03729447934768,41.8652660217106,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
4.08588424007486,4.08588424007486,;,2,2,0.6931471805599453,4.476275738585497e-4,-7.711548979629146,7.80604197299826,41.30368487441675,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
6.44338992113354,6.44338992113354,;,2,2,0.6931471805599453,4.476275738585497e-4,-7.711548979629146,11.5695762598583,40.75771667567002,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
6.79320946397541,6.79320946397541,;,2,2,0.6931471805599453,4.476275738585497e-4,-7.711548979629146,15.3161342066568,40.2283611319957,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
3.41217751637482,3.41217751637482,;,2,2,0.6931471805599453,4.476275738585497e-4,-7.711548979629146,19.6223766876086,39.6366622852479,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
-0.263935302767007,-0.263935302767007,;,7,7,1.9459101490553132,0.001566696508504924,-6.458786011133778,0.0594840261997062,42.47480596282412,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
1.13901884774762,1.13901884774762,;,7,7,1.9459101490553132,0.001566696508504924,-6.458786011133778,4.09731319342333,41.85620299634847,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
2.93917925411041,2.93917925411041,;,7,7,1.9459101490553132,0.001566696508504924,-6.458786011133778,7.65592835182462,41.32576505534707,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
4.35008688677984,4.35008688677984,;,7,7,1.9459101490553132,0.001566696508504924,-6.458786011133778,11.6417591231118,40.74738629006341,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
4.31138885175779,4.31138885175779,;,7,7,1.9459101490553132,0.001566696508504924,-6.458786011133778,15.6258521588022,40.18521539964022,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
2.04244085015373,2.04244085015373,;,7,7,1.9459101490553132,0.001566696508504924,-6.458786011133778,19.0144365726507,39.7191388430005,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
-0.233324421868733,-0.233324421868733,;,14,14,2.6390573296152584,0.003133393017009848,-5.765638830573833,0.161876754444592,42.4588933310137,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
1.73726774495388,1.73726774495388,;,14,14,2.6390573296152584,0.003133393017009848,-5.765638830573833,7.74909771420932,41.312058015304586,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
2.36512498329101,2.36512498329101,;,14,14,2.6390573296152584,0.003133393017009848,-5.765638830573833,11.7619302232321,40.73019972215217,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
2.28792942120038,2.28792942120038,;,14,14,2.6390573296152584,0.003133393017009848,-5.765638830573833,15.6783852426146,40.17790637671703,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
0.498195428418671,0.498195428418671,;,14,14,2.6390573296152584,0.003133393017009848,-5.765638830573833,19.4297553802967,39.662757274960846,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
0.767095720848995,0.767095720848995,;,57,57,4.04305126783455,0.012757385854968667,-4.3616448923545414,4.50491703686828,41.794757121752056,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
1.47387325815392,1.47387325815392,;,57,57,4.04305126783455,0.012757385854968667,-4.3616448923545414,8.78103048942552,41.160846328518566,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
1.63762767209629,1.63762767209629,;,57,57,4.04305126783455,0.012757385854968667,-4.3616448923545414,12.8707901431446,40.572294816081104,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
1.41883282074647,1.41883282074647,;,57,57,4.04305126783455,0.012757385854968667,-4.3616448923545414,16.4748452747085,40.06741828453725,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
0.0674488362379921,0.0674488362379921,;,57,57,4.04305126783455,0.012757385854968667,-4.3616448923545414,19.6856893343964,39.628092626253064,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
0.761886319626381,0.761886319626381,;,143,143,4.962844630259907,0.032005371530886305,-3.441851529929184,4.59072787333409,41.78184420438496,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
1.0498690055815,1.0498690055815,;,143,143,4.962844630259907,0.032005371530886305,-3.441851529929184,8.47089645745529,41.206174567267,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
1.1464327751832,1.1464327751832,;,143,143,4.962844630259907,0.032005371530886305,-3.441851529929184,12.4429509815089,40.63307508583249,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
0.962068572730379,0.962068572730379,;,143,143,4.962844630259907,0.032005371530886305,-3.441851529929184,16.1679006720583,40.10992681151051,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
0.429319968105707,0.429319968105707,;,373,373,5.921578419643816,0.08348254252461952,-2.483117740545276,4.14466340129855,41.84905572604605,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
0.579245927782207,0.579245927782207,;,373,373,5.921578419643816,0.08348254252461952,-2.483117740545276,8.31643695181683,41.22878715803213,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
0.612028704863879,0.612028704863879,;,373,373,5.921578419643816,0.08348254252461952,-2.483117740545276,12.2603941223373,40.65906519242606,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
0.260211869233397,0.260211869233397,;,373,373,5.921578419643816,0.08348254252461952,-2.483117740545276,16.4754527850552,40.067334240227815,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
0.325830580552075,0.325830580552075,;,1050,1050,6.956545443151569,0.2350044762757386,-1.4481507170375223,4.24004252572426,41.83466614573939,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
0.387986482894787,0.387986482894787,;,1050,1050,6.956545443151569,0.2350044762757386,-1.4481507170375223,8.03834909063294,41.26956134116263,9,N,Atlantic cod,Gadus morhua,G.morhua,2,16
0.381015301666856,0.381015301666856,;,1050,1050,6.956545443151569,0.2350044762757386,-1.4481507170375223,12.2114895394312,40.66603324767344,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
0.269035957018643,0.269035957018643,;,1050,1050,6.956545443151569,0.2350044762757386,-1.4481507170375223,16.0035691232866,40.13272205631431,9,Y,Atlantic cod,Gadus morhua,G.morhua,2,16
1.23474143966925,1.23474143966925,22.43212,;,22.43212,3.1104938603385843,0.00100083521464838,-6.906920412931423,7.30313739872636,41.377750054254975,4.2,N,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
1.70053012369552,1.70053012369552,22.43212,;,22.43212,3.1104938603385843,0.00100083521464838,-6.906920412931423,10.0385423265428,40.97806968417187,4.2,N,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
2.10591137932184,2.10591137932184,22.43212,;,22.43212,3.1104938603385843,0.00100083521464838,-6.906920412931423,12.8324275664321,40.57773731052221,4.2,N,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
2.23507485079851,2.23507485079851,22.43212,;,22.43212,3.1104938603385843,0.00100083521464838,-6.906920412931423,12.9099456539859,40.56674133348537,4.2,N,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
2.26922281865768,2.26922281865768,22.43212,;,22.43212,3.1104938603385843,0.00100083521464838,-6.906920412931423,15.0592471576701,40.26421752827266,4.2,Y,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
0.267868112213108,0.267868112213108,247.6611,;,247.6611,5.512061279350213,0.011049689025315213,-4.505352993919794,4.95117982099267,41.72769000363713,4.2,N,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
0.475218994421598,0.475218994421598,247.6611,;,247.6611,5.512061279350213,0.011049689025315213,-4.505352993919794,7.3433685923515,41.37181523917339,4.2,N,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
0.599639346425351,0.599639346425351,247.6611,;,247.6611,5.512061279350213,0.011049689025315213,-4.505352993919794,8.94222945484133,41.13732534796331,4.2,N,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
0.556524384433253,0.556524384433253,247.6611,;,247.6611,5.512061279350213,0.011049689025315213,-4.505352993919794,11.0781122864117,40.828191581283335,4.2,N,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
0.567447349709351,0.567447349709351,247.6611,;,247.6611,5.512061279350213,0.011049689025315213,-4.505352993919794,12.9454841334418,40.561702175639724,4.2,Y,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
0.519813955534053,0.519813955534053,247.6611,;,247.6611,5.512061279350213,0.011049689025315213,-4.505352993919794,14.8494711147274,40.29354559680199,4.2,Y,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
0.103002367953693,0.103002367953693,3714.835,;,3714.835,8.22008954162984,0.16574169916210837,-1.7973247316401681,2.34611589817799,42.12226289790997,4.2,N,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
0.176511543774255,0.176511543774255,3714.835,;,3714.835,8.22008954162984,0.16574169916210837,-1.7973247316401681,4.46188252318621,41.80123601246397,4.2,N,Atlantic halibut,Hippoglossus hippoglossus,H.hippoglossus,;,;
