y,mass_g,log_mass,mass_norm,log_mass_norm,temp_c,temp_arr,median_temp,above_peak_temp,common_name,species,species_ab,unit,type
0.0327168203357455,0.190078242662454,-1.6603194881028358,0.011879890166403374,-4.432908210342617,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0462274547257833,0.262425155199647,-1.337789360654727,0.016401572199977937,-4.110378082894508,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0338518899460015,0.305862689637438,-1.1846190044127378,0.019116418102339876,-3.957207726652519,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0718069279653234,0.30049957756309,-1.2023089307879296,0.018781223597693124,-3.974897653027711,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0591136171619586,0.371395511148661,-0.9904877164352764,0.02321221944679131,-3.763076438675058,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.083159460750101,0.45529515483231,-0.7868093784017139,0.028455947177019374,-3.559398100641495,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0557341218822319,0.481357675494985,-0.7311446771182117,0.03008485471843656,-3.503733399357993,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0521195312786981,0.481578077361055,-0.730686906453315,0.03009862983506594,-3.503275628693096,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0978823054035191,0.515373030158322,-0.6628643101145539,0.03221081438489513,-3.435453032354335,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0954248245968482,0.594791169231899,-0.5195449111238694,0.03717444807699369,-3.2921336333636506,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.103258274253388,0.591264739374793,-0.5254914103115955,0.03695404621092456,-3.2980801325513767,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0655787385666532,0.639293979355691,-0.4473908688109874,0.03995587370973069,-3.2199795910507687,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.099614296734379,0.64026742093083,-0.44586934469699485,0.040016713808176875,-3.218458066936776,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0851210373581163,0.699077985526944,-0.3579929756940334,0.043692374095434,-3.1305816979338146,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0974323182602946,0.762351687910957,-0.27134729707739946,0.04764698049443481,-3.0439360193171807,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.126248025566616,0.928277559416669,-0.07442449671669292,0.05801734746354181,-2.8470132189564743,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0997300077140653,0.948187194651581,-0.05320333350767246,0.05926169966572381,-2.8257920557474536,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.104527421665503,0.984480035264298,-0.01564166016972964,0.06153000220401862,-2.7882303824095107,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0941905741468611,1.14364691621055,0.13422220564248624,0.07147793226315938,-2.638366516597295,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.205243727730228,1.29541196782132,0.2588287664312132,0.0809632479888325,-2.513759955808568,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.163352679719355,1.33455166587077,0.28859540464000644,0.08340947911692312,-2.483993317599775,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.198144950960584,1.57938140542923,0.4570332548255314,0.09871133783932687,-2.31555546741425,12.5,40.62495999025425,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0351247107225507,0.192980200565698,-1.6451676830822313,0.012061262535356125,-4.417756405322012,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0610347867611945,0.182253976417,-1.7023540898567662,0.0113908735260625,-4.474942812096548,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0396080520148403,0.250633655364948,-1.3837629463956398,0.01566460346030925,-4.156351668635421,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0673309334019028,0.230650552841347,-1.4668514720969528,0.014415659552584188,-4.239440194336734,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0558204459464423,0.338059728905704,-1.0845326863722058,0.0211287330566065,-3.857121408611987,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0636520589207655,0.337582191529221,-1.0859462678613296,0.02109888697057631,-3.858534990101111,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
0.0430830547698637,0.482129082026227,-0.7295433957512378,0.030133067626639188,-3.502132117991019,7,41.422523009873736,12,N,Three-spined stickleback,Gasterosteus aculeatus,G.aculeatus,g/day,;
